Firstname,Lastname,Email,Date of Birth,Address,Contact,Gender,GPA,,,,,,,
Buckminster,Manning,Etiam.imperdiet.dictum@tellusPhaselluselit.com,4/27/1990 13:21,Ap #253-5483 Ipsum St.,541-3486,Other,4,,,,,,,
Dorothy,Welch,mauris.ut.mi@molestie.co.uk,9/1/2001 17:44,768-436 Ac Rd.,284-1074,Male,1,,,,,,,
Alisa,Humphrey,tortor@molestieSedid.edu,8/23/1985 18:32,"P.O. Box 518, 8571 Pellentesque St.",1-197-120-3396,Female,2,,,,,,,
Merritt,Kramer,sed.sem.egestas@commodo.net,10/1/1989 15:26,"P.O. Box 570, 139 Duis St.",1-480-624-4498,Male,2,,,,,,,
Hedda,Skinner,pede.Nunc@montesnascetur.org,6/13/1990 0:41,"P.O. Box 322, 473 Purus. St.",484-7266,Female,3,,,,,,,
Baker,Pearson,magna.nec@interdum.edu,7/14/1983 23:12,"P.O. Box 572, 6124 Venenatis Rd.",366-0998,Male,4,,,,,,,
Jada,Patel,neque.tellus@tincidunt.com,9/28/1988 20:13,178-3114 Pharetra. Rd.,546-7735,Other,1,,,,,,,
Brandon,Fowler,ornare.elit@quama.ca,10/3/1981 7:59,Ap #510-773 Aliquet Ave,1-398-502-1721,Other,3,,,,,,,
Kevyn,Nixon,nunc.est@facilisis.net,10/1/1980 12:27,"P.O. Box 878, 8469 Eget Avenue",510-6955,Male,1,,,,,,,
Prescott,Bradshaw,ac@ac.ca,2/10/1998 17:54,"P.O. Box 449, 8473 Pellentesque Road",596-1316,Female,3,,,,,,,
Callie,Nunez,per.inceptos@lacusAliquamrutrum.co.uk,3/7/2002 9:01,3363 Imperdiet St.,414-0682,Male,4,,,,,,,
Alfonso,Silva,ac@at.org,9/21/1992 7:35,"4167 In, Street",337-2495,Male,1,,,,,,,
Alika,Ross,feugiat@loremDonecelementum.com,4/29/1974 5:03,"P.O. Box 463, 335 Nec Street",1-512-830-1755,Male,1,,,,,,,
Kai,Lang,eros@penatibusetmagnis.org,3/5/1987 3:38,303-1797 Pede Avenue,1-952-757-3692,Male,3,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
